coefs =  24 , Nfilters =  20 , Ngauss =  12 , percent =  mié may 6 20:37:15 CEST 2020: classerr --- nerr=200 ntot=785 error_rate=25.48% mié may 6 20:37:15 CEST 2020: 2024 --- undefined command 2024
coefs =  25 , Nfilters =  20 , Ngauss =  12 , percent =  mié may 6 20:41:50 CEST 2020: classerr --- nerr=259 ntot=785 error_rate=32.99% mié may 6 20:41:50 CEST 2020: 2025 --- undefined command 2025
coefs =  14 , Nfilters =  24 , Ngauss =  5 , percent =  mié may 6 20:42:42 CEST 2020: classerr --- nerr=38 ntot=785 error_rate=4.84% mié may 6 20:42:42 CEST 2020: 2414 --- undefined command 2414
coefs =  15 , Nfilters =  24 , Ngauss =  5 , percent =  mié may 6 20:43:43 CEST 2020: classerr --- nerr=37 ntot=785 error_rate=4.71% mié may 6 20:43:43 CEST 2020: 2415 --- undefined command 2415
coefs =  16 , Nfilters =  24 , Ngauss =  5 , percent =  mié may 6 20:44:45 CEST 2020: classerr --- nerr=40 ntot=785 error_rate=5.10% mié may 6 20:44:45 CEST 2020: 2416 --- undefined command 2416
coefs =  17 , Nfilters =  24 , Ngauss =  5 , percent =  mié may 6 20:45:49 CEST 2020: classerr --- nerr=34 ntot=785 error_rate=4.33% mié may 6 20:45:49 CEST 2020: 2417 --- undefined command 2417
coefs =  18 , Nfilters =  24 , Ngauss =  5 , percent =  mié may 6 20:46:57 CEST 2020: classerr --- nerr=34 ntot=785 error_rate=4.33% mié may 6 20:46:57 CEST 2020: 2418 --- undefined command 2418
coefs =  19 , Nfilters =  24 , Ngauss =  5 , percent =  mié may 6 20:48:06 CEST 2020: classerr --- nerr=32 ntot=785 error_rate=4.08% mié may 6 20:48:06 CEST 2020: 2419 --- undefined command 2419
coefs =  20 , Nfilters =  24 , Ngauss =  5 , percent =  mié may 6 20:49:19 CEST 2020: classerr --- nerr=38 ntot=785 error_rate=4.84% mié may 6 20:49:19 CEST 2020: 2420 --- undefined command 2420
coefs =  21 , Nfilters =  24 , Ngauss =  5 , percent =  mié may 6 20:50:34 CEST 2020: classerr --- nerr=38 ntot=785 error_rate=4.84% mié may 6 20:50:34 CEST 2020: 2421 --- undefined command 2421
coefs =  22 , Nfilters =  24 , Ngauss =  5 , percent =  mié may 6 20:51:53 CEST 2020: classerr --- nerr=43 ntot=785 error_rate=5.48% mié may 6 20:51:53 CEST 2020: 2422 --- undefined command 2422
coefs =  23 , Nfilters =  24 , Ngauss =  5 , percent =  mié may 6 20:53:14 CEST 2020: classerr --- nerr=48 ntot=785 error_rate=6.11% mié may 6 20:53:14 CEST 2020: 2423 --- undefined command 2423
coefs =  24 , Nfilters =  24 , Ngauss =  5 , percent =  mié may 6 20:54:46 CEST 2020: classerr --- nerr=65 ntot=785 error_rate=8.28% mié may 6 20:54:46 CEST 2020: 2424 --- undefined command 2424
coefs =  25 , Nfilters =  24 , Ngauss =  5 , percent =  mié may 6 20:56:28 CEST 2020: classerr --- nerr=65 ntot=785 error_rate=8.28% mié may 6 20:56:28 CEST 2020: 2425 --- undefined command 2425
coefs =  14 , Nfilters =  24 , Ngauss =  6 , percent =  mié may 6 20:57:40 CEST 2020: classerr --- nerr=33 ntot=785 error_rate=4.20% mié may 6 20:57:40 CEST 2020: 2414 --- undefined command 2414
coefs =  15 , Nfilters =  24 , Ngauss =  6 , percent =  mié may 6 20:58:53 CEST 2020: classerr --- nerr=31 ntot=785 error_rate=3.95% mié may 6 20:58:53 CEST 2020: 2415 --- undefined command 2415
coefs =  16 , Nfilters =  24 , Ngauss =  6 , percent =  mié may 6 21:00:09 CEST 2020: classerr --- nerr=35 ntot=785 error_rate=4.46% mié may 6 21:00:09 CEST 2020: 2416 --- undefined command 2416
coefs =  17 , Nfilters =  24 , Ngauss =  6 , percent =  mié may 6 21:01:25 CEST 2020: classerr --- nerr=31 ntot=785 error_rate=3.95% mié may 6 21:01:25 CEST 2020: 2417 --- undefined command 2417
coefs =  18 , Nfilters =  24 , Ngauss =  6 , percent =  mié may 6 21:02:39 CEST 2020: classerr --- nerr=28 ntot=785 error_rate=3.57% mié may 6 21:02:39 CEST 2020: 2418 --- undefined command 2418
coefs =  19 , Nfilters =  24 , Ngauss =  6 , percent =  mié may 6 21:03:54 CEST 2020: classerr --- nerr=32 ntot=785 error_rate=4.08% mié may 6 21:03:54 CEST 2020: 2419 --- undefined command 2419
coefs =  20 , Nfilters =  24 , Ngauss =  6 , percent =  mié may 6 21:05:22 CEST 2020: classerr --- nerr=31 ntot=785 error_rate=3.95% mié may 6 21:05:22 CEST 2020: 2420 --- undefined command 2420
coefs =  21 , Nfilters =  24 , Ngauss =  6 , percent =  mié may 6 21:07:00 CEST 2020: classerr --- nerr=35 ntot=785 error_rate=4.46% mié may 6 21:07:00 CEST 2020: 2421 --- undefined command 2421
coefs =  22 , Nfilters =  24 , Ngauss =  6 , percent =  mié may 6 21:08:35 CEST 2020: classerr --- nerr=33 ntot=785 error_rate=4.20% mié may 6 21:08:35 CEST 2020: 2422 --- undefined command 2422
coefs =  23 , Nfilters =  24 , Ngauss =  6 , percent =  mié may 6 21:10:13 CEST 2020: classerr --- nerr=31 ntot=785 error_rate=3.95% mié may 6 21:10:13 CEST 2020: 2423 --- undefined command 2423
coefs =  24 , Nfilters =  24 , Ngauss =  6 , percent =  mié may 6 21:12:04 CEST 2020: classerr --- nerr=63 ntot=785 error_rate=8.03% mié may 6 21:12:04 CEST 2020: 2424 --- undefined command 2424
coefs =  25 , Nfilters =  24 , Ngauss =  6 , percent =  mié may 6 21:14:03 CEST 2020: classerr --- nerr=55 ntot=785 error_rate=7.01% mié may 6 21:14:03 CEST 2020: 2425 --- undefined command 2425
coefs =  14 , Nfilters =  24 , Ngauss =  7 , percent =  mié may 6 21:15:17 CEST 2020: classerr --- nerr=26 ntot=785 error_rate=3.31% mié may 6 21:15:17 CEST 2020: 2414 --- undefined command 2414
coefs =  15 , Nfilters =  24 , Ngauss =  7 , percent =  mié may 6 21:16:40 CEST 2020: classerr --- nerr=30 ntot=785 error_rate=3.82% mié may 6 21:16:40 CEST 2020: 2415 --- undefined command 2415
coefs =  16 , Nfilters =  24 , Ngauss =  7 , percent =  mié may 6 21:18:09 CEST 2020: classerr --- nerr=23 ntot=785 error_rate=2.93% mié may 6 21:18:09 CEST 2020: 2416 --- undefined command 2416
coefs =  17 , Nfilters =  24 , Ngauss =  7 , percent =  mié may 6 21:19:41 CEST 2020: classerr --- nerr=20 ntot=785 error_rate=2.55% mié may 6 21:19:41 CEST 2020: 2417 --- undefined command 2417
coefs =  18 , Nfilters =  24 , Ngauss =  7 , percent =  mié may 6 21:21:15 CEST 2020: classerr --- nerr=18 ntot=785 error_rate=2.29% mié may 6 21:21:15 CEST 2020: 2418 --- undefined command 2418
coefs =  19 , Nfilters =  24 , Ngauss =  7 , percent =  mié may 6 21:22:55 CEST 2020: classerr --- nerr=18 ntot=785 error_rate=2.29% mié may 6 21:22:55 CEST 2020: 2419 --- undefined command 2419
coefs =  20 , Nfilters =  24 , Ngauss =  7 , percent =  mié may 6 21:24:47 CEST 2020: classerr --- nerr=25 ntot=785 error_rate=3.18% mié may 6 21:24:47 CEST 2020: 2420 --- undefined command 2420
